<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=15 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta</a>,📝,-@@100,7241748480.0,32002.0,4096.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base (zero-shot)</a>,📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base (val)</a>,📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base (zero-shot, val)</a>",📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct (zero-shot)</a>,📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct (val)</a>,📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B-v2'>NbAiLab/nb-gpt-j-6B-v2</a>,🧠,-@@100,6050882784.0,50400.0,2048.0,✗,✗,(✓),✗,-@@-1,5.29 ± 4.68 / 4.93 ± 4.38@@5.29,6.77 ± 6.18 / 6.78 ± 5.66@@6.77,-@@-1,-@@-1,-@@-1,-@@0,9.3.1@@90301,9.3.1@@90301,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B-alpaca'>NbAiLab/nb-gpt-j-6B-alpaca</a>,🧠,-@@100,6055077088.0,50400.0,2048.0,✗,✗,(✓),✗,-@@-1,23.82 ± 4.25 / 22.08 ± 2.50@@23.82,26.04 ± 6.38 / 24.47 ± 3.69@@26.04,-@@-1,-@@-1,-@@-1,-@@0,9.3.2@@90302,9.3.2@@90302,-@@0,-@@0,-@@0
"<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct (zero-shot, val)</a>",📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,-@@100,3211926528.0,65536.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview (zero-shot, val)</a>",📝,-@@100,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (zero-shot, val)</a>",📝,-@@100,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (zero-shot)</a>,📝,-@@100,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview</a>,📝,-@@100,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B</a>,🧠,-@@100,14030361600.0,131072.0,4096.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (zero-shot, val)</a>",📝,-@@100,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (zero-shot)</a>,📝,-@@100,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview</a>,📝,-@@100,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview (zero-shot, val)</a>",📝,-@@100,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview (zero-shot)</a>,📝,-@@100,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview</a>,📝,-@@100,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (zero-shot, val)</a>",📝,-@@100,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (zero-shot)</a>,📝,-@@100,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview</a>,📝,-@@100,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview (zero-shot)</a>,📝,-@@100,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B (zero-shot)</a>,📝,-@@100,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/PleIAs/Pleias-Nano'>PleIAs/Pleias-Nano</a>,🧠,-@@100,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M (zero-shot)</a>,📝,-@@100,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (val)</a>,📝,-@@100,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (zero-shot)</a>,📝,-@@100,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B (val)</a>,📝,-@@100,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B (zero-shot, val)</a>",📝,-@@100,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M (zero-shot)</a>,📝,-@@100,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M (val)</a>,📝,-@@100,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M (zero-shot, val)</a>",📝,-@@100,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (zero-shot, val)</a>",📝,-@@100,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (val)</a>,📝,-@@100,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (zero-shot)</a>,📝,-@@100,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (zero-shot, val)</a>",📝,-@@100,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (val)</a>,📝,-@@100,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (zero-shot)</a>,📝,-@@100,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico</a>,🧠,-@@100,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B</a>,📝,-@@100,7615616512.0,152064.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (zero-shot, val)</a>",📝,-@@100,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (val)</a>,📝,-@@100,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (zero-shot)</a>,📝,-@@100,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,-@@100,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (zero-shot, val)</a>",📝,-@@100,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (val)</a>,📝,-@@100,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (zero-shot)</a>,📝,-@@100,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-4B'>Qwen/Qwen1.5-4B</a>,📝,-@@100,3950369280.0,151936.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-4B-Chat'>Qwen/Qwen1.5-4B-Chat</a>,📝,-@@100,3950369280.0,151936.0,32768.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-1.8B'>Qwen/Qwen1.5-1.8B</a>,📝,-@@100,1836828672.0,151936.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-1.8B-Chat'>Qwen/Qwen1.5-1.8B-Chat</a>,📝,-@@100,1836828672.0,151936.0,32768.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B</a>,📝,-@@100,619570176.0,151936.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat</a>,📝,-@@100,619570176.0,151936.0,32768.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B</a>,📝,-@@100,1543714304.0,151936.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny (val)</a>,📝,-@@100,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base (zero-shot)</a>,📝,-@@100,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base (zero-shot, val)</a>",📝,-@@100,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (zero-shot)</a>,📝,-@@100,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,-@@100,?,100256.0,128000.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (zero-shot, val)</a>",📝,-@@100,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (zero-shot)</a>,📝,-@@100,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it</a>,📝,-@@100,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (zero-shot, val)</a>",📝,-@@100,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (zero-shot, val)</a>",📝,-@@100,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (zero-shot)</a>,📝,-@@100,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it</a>,📝,-@@100,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (zero-shot, val)</a>",📝,-@@100,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (zero-shot)</a>,📝,-@@100,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it</a>,📝,-@@100,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot)</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (zero-shot, val)</a>",📝,-@@100,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it</a>,📝,-@@100,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water</a>,📝,-@@100,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it (zero-shot, val)</a>",📝,-@@100,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it (val)</a>,📝,-@@100,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it (zero-shot)</a>,📝,-@@100,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it (zero-shot, val)</a>",📝,-@@100,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it (val)</a>,📝,-@@100,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it (zero-shot)</a>,📝,-@@100,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
