<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,-@@100,?,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,37.72 ± 2.42 / 57.43 ± 1.97@@37.72,61.48 ± 2.51 / 39.37 ± 3.39@@61.48,21.63 ± 1.91 / 60.11 ± 0.74@@21.63,53.50 ± 1.82 / 26.27 ± 1.24@@53.50,-@@-1,19.70 ± 1.46 / 39.47 ± 1.09@@19.70,17.50 ± 2.90 / 60.27 ± 1.24@@17.50,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/common-pile/comma-v0.1-1t'>common-pile/comma-v0.1-1t</a>,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✓,✗,(✓),✗,5.28 ± 2.58 / 27.98 ± 1.53@@5.28,20.54 ± 4.71 / 19.69 ± 2.75@@20.54,1.06 ± 1.37 / 46.60 ± 3.30@@1.06,30.23 ± 2.23 / 9.94 ± 2.56@@30.23,-@@-1,-1.53 ± 1.39 / 22.93 ± 0.77@@-1.53,0.00 ± 0.00 / 43.56 ± 1.01@@0.00,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/common-pile/comma-v0.1-2t'>common-pile/comma-v0.1-2t</a>,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✓,✗,(✓),✗,5.44 ± 3.50 / 29.83 ± 3.83@@5.44,28.96 ± 2.83 / 28.38 ± 2.65@@28.96,1.13 ± 1.24 / 45.78 ± 2.78@@1.13,29.08 ± 3.00 / 8.83 ± 3.39@@29.08,-@@-1,0.48 ± 1.25 / 23.78 ± 0.87@@0.48,0.00 ± 0.00 / 43.56 ± 1.01@@0.00,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/danish-foundation-models/encoder-small-v1'>danish-foundation-models/encoder-small-v1</a>,🔍,-@@100,N/A,22007401.0,96105.0,128.0,✓,✗,(✓),✗,27.05 ± 3.31 / 38.67 ± 2.36@@27.05,17.65 ± 9.57 / 16.77 ± 9.42@@17.65,-0.34 ± 1.26 / 41.43 ± 4.34@@-0.34,1.13 ± 1.00 / 0.51 ± 0.37@@1.13,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,49.96 ± 1.16 / 63.36 ± 0.98@@49.96,68.95 ± 1.08 / 42.25 ± 4.01@@68.95,24.13 ± 1.43 / 61.40 ± 0.94@@24.13,55.77 ± 1.64 / 27.94 ± 0.92@@55.77,-@@-1,35.14 ± 1.61 / 51.18 ± 1.12@@35.14,44.80 ± 2.11 / 72.65 ± 1.16@@44.80,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,-@@0,15.9.1@@150901,15.9.1@@150901
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,?,200000.0,✓,✗,✗,✓,57.76 ± 2.47 / 69.67 ± 1.60@@57.76,69.99 ± 1.94 / 51.18 ± 1.36@@69.99,62.13 ± 3.12 / 80.62 ± 1.46@@62.13,48.51 ± 1.37 / 28.22 ± 1.53@@48.51,-@@-1,54.68 ± 3.55 / 65.00 ± 2.82@@54.68,76.58 ± 3.94 / 88.59 ± 1.97@@76.58,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,✗,✓,55.40 ± 2.61 / 68.93 ± 2.05@@55.40,42.28 ± 1.95 / 27.74 ± 1.36@@42.28,55.14 ± 2.86 / 77.12 ± 1.33@@55.14,50.78 ± 1.19 / 29.89 ± 1.52@@50.78,-@@-1,45.61 ± 5.06 / 56.33 ± 3.89@@45.61,63.08 ± 2.97 / 80.86 ± 1.63@@63.08,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,-@@0,15.13.0.dev0@@151300,15.13.0.dev0@@151300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,25.21 ± 2.91 / 44.30 ± 2.09@@25.21,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,-@@100,5.46,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,2.10 ± 2.27 / 21.60 ± 1.74@@2.10,44.60 ± 1.62 / 36.26 ± 2.19@@44.60,3.72 ± 2.24 / 45.53 ± 4.07@@3.72,13.11 ± 5.76 / 6.35 ± 2.68@@13.11,-@@-1,4.82 ± 1.69 / 26.55 ± 1.29@@4.82,0.67 ± 1.78 / 43.66 ± 1.05@@0.67,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,-@@100,2.88,?,103424.0,131072.0,✓,✗,(✓),✗,7.90 ± 4.00 / 23.36 ± 3.77@@7.90,21.90 ± 1.27 / 21.79 ± 1.63@@21.90,2.28 ± 2.97 / 49.67 ± 2.06@@2.28,23.44 ± 2.75 / 4.07 ± 1.21@@23.44,-@@-1,0.00 ± 1.25 / 25.11 ± 0.88@@0.00,1.18 ± 2.88 / 50.99 ± 1.56@@1.18,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,-@@100,0.13,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,33.48 ± 2.05 / 50.38 ± 2.93@@33.48,47.45 ± 1.51 / 29.83 ± 3.31@@47.45,5.56 ± 3.32 / 41.76 ± 4.53@@5.56,51.79 ± 2.63 / 28.40 ± 1.47@@51.79,-@@-1,16.83 ± 1.85 / 37.43 ± 1.46@@16.83,6.86 ± 2.72 / 51.67 ± 1.39@@6.86,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,-@@100,N/A,23575680000.0,131072.0,32768.0,✓,✗,(✓),✗,47.54 ± 1.74 / 63.49 ± 1.72@@47.54,67.46 ± 1.96 / 52.70 ± 5.11@@67.46,21.24 ± 1.35 / 58.07 ± 1.69@@21.24,59.70 ± 2.45 / 33.59 ± 1.68@@59.70,-@@-1,28.82 ± 1.90 / 45.30 ± 1.39@@28.82,22.15 ± 3.15 / 61.23 ± 2.00@@22.15,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,18.78 ± 4.43 / 36.64 ± 3.61@@18.78,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,51.59 ± 2.31 / 60.97 ± 1.66@@51.59,74.90 ± 1.92 / 53.08 ± 1.85@@74.90,53.96 ± 2.02 / 76.01 ± 0.93@@53.96,46.22 ± 0.96 / 27.04 ± 0.96@@46.22,-@@-1,67.27 ± 4.50 / 75.55 ± 3.35@@67.27,81.90 ± 3.39 / 91.33 ± 1.59@@81.90,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,-@@0,15.13.0@@151300,15.13.0@@151300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,54.74 ± 2.13 / 65.89 ± 1.43@@54.74,42.76 ± 2.45 / 19.43 ± 1.02@@42.76,39.15 ± 4.42 / 69.45 ± 2.28@@39.15,46.76 ± 1.05 / 24.20 ± 0.57@@46.76,-@@-1,39.04 ± 4.26 / 54.06 ± 3.13@@39.04,49.69 ± 6.58 / 74.22 ± 3.28@@49.69,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,-@@0,15.11.0@@151100,15.11.0@@151100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,51.71 ± 2.56 / 62.53 ± 1.76@@51.71,60.37 ± 2.55 / 35.28 ± 1.08@@60.37,42.11 ± 4.27 / 70.63 ± 2.22@@42.11,47.16 ± 0.70 / 26.29 ± 0.32@@47.16,-@@-1,45.66 ± 3.63 / 59.45 ± 2.82@@45.66,75.28 ± 3.15 / 88.05 ± 1.44@@75.28,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,-@@0,15.11.0@@151100,15.11.0@@151100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,56.90 ± 1.82 / 65.94 ± 1.49@@56.90,72.59 ± 1.54 / 52.60 ± 1.90@@72.59,46.78 ± 3.79 / 72.72 ± 1.81@@46.78,48.69 ± 1.02 / 29.39 ± 0.82@@48.69,-@@-1,58.75 ± 4.52 / 69.14 ± 3.43@@58.75,86.14 ± 1.90 / 93.20 ± 1.05@@86.14,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.7.0.dev0@@150700,15.7.0.dev0@@150700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,59.15 ± 2.54 / 66.93 ± 1.69@@59.15,59.55 ± 2.43 / 37.33 ± 1.42@@59.55,51.46 ± 3.13 / 74.09 ± 1.69@@51.46,50.90 ± 1.04 / 25.99 ± 0.88@@50.90,-@@-1,76.49 ± 2.28 / 82.50 ± 1.70@@76.49,88.43 ± 2.60 / 94.45 ± 1.26@@88.43,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,-@@0,15.8.1@@150801,15.8.1@@150801
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,57.17 ± 2.10 / 65.29 ± 1.69@@57.17,63.31 ± 1.43 / 43.14 ± 1.43@@63.31,53.03 ± 2.82 / 76.43 ± 1.40@@53.03,49.50 ± 1.01 / 23.78 ± 0.74@@49.50,-@@-1,79.37 ± 2.14 / 84.61 ± 1.61@@79.37,92.47 ± 1.44 / 96.41 ± 0.65@@92.47,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,-@@0,15.13.0@@151300,15.13.0@@151300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.32 ± 3.23 / 67.19 ± 2.55@@58.32,59.85 ± 1.64 / 34.59 ± 1.79@@59.85,44.64 ± 3.47 / 71.85 ± 1.58@@44.64,50.60 ± 0.80 / 27.41 ± 0.74@@50.60,-@@-1,53.53 ± 4.54 / 64.53 ± 3.39@@53.53,58.02 ± 5.59 / 79.69 ± 2.78@@58.02,15.11.0@@151100,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,-@@0,15.12.0.dev0@@151200,15.12.0.dev0@@151200
<a href='https://hf.co/google/gemma-2-27b-it'>google/gemma-2-27b-it</a>,📝,-@@100,?,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,48.05 ± 1.24 / 63.57 ± 1.52@@48.05,50.64 ± 1.95 / 27.36 ± 2.17@@50.64,20.35 ± 1.79 / 59.54 ± 0.92@@20.35,49.72 ± 0.90 / 21.39 ± 1.76@@49.72,-@@-1,22.94 ± 1.31 / 41.61 ± 0.88@@22.94,32.77 ± 2.14 / 66.57 ± 1.09@@32.77,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,-@@0,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/google/gemma-2-27b'>google/gemma-2-27b</a>,🧠,-@@100,N/A,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,40.93 ± 3.20 / 57.68 ± 3.17@@40.93,36.93 ± 1.36 / 38.34 ± 2.75@@36.93,16.42 ± 1.67 / 56.37 ± 1.40@@16.42,62.06 ± 1.98 / 36.44 ± 1.81@@62.06,-@@-1,23.13 ± 1.78 / 41.86 ± 1.28@@23.13,27.72 ± 1.77 / 64.77 ± 1.08@@27.72,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,-@@0,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/google/gemma-2-2b-it'>google/gemma-2-2b-it</a>,📝,-@@100,?,2614341888.0,256000.0,8192.0,✓,✗,(✓),✓,7.01 ± 5.92 / 23.65 ± 4.23@@7.01,21.73 ± 1.03 / 16.56 ± 1.17@@21.73,4.53 ± 1.38 / 42.99 ± 2.54@@4.53,51.87 ± 2.09 / 25.32 ± 1.11@@51.87,-@@-1,2.82 ± 1.41 / 27.33 ± 0.93@@2.82,-4.25 ± 1.84 / 52.56 ± 1.39@@-4.25,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,-@@0,15.4.1.dev0@@150401,15.4.1@@150401
<a href='https://hf.co/google/gemma-2-2b'>google/gemma-2-2b</a>,🧠,-@@100,N/A,2614341888.0,256000.0,8192.0,✓,✗,(✓),✓,14.74 ± 6.72 / 28.75 ± 6.61@@14.74,9.61 ± 5.53 / 12.24 ± 3.20@@9.61,0.96 ± 1.24 / 33.79 ± 0.50@@0.96,41.67 ± 3.78 / 19.56 ± 3.64@@41.67,-@@-1,-0.54 ± 1.32 / 24.75 ± 1.03@@-0.54,-4.39 ± 2.81 / 54.27 ± 1.49@@-4.39,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,-@@0,15.4.1.dev0@@150401,15.4.1.dev0@@150401
<a href='https://hf.co/google/gemma-2-9b-it'>google/gemma-2-9b-it</a>,📝,-@@100,?,9241705984.0,256000.0,8192.0,✓,✗,(✓),✓,45.19 ± 2.58 / 61.37 ± 2.33@@45.19,43.39 ± 1.64 / 30.65 ± 2.42@@43.39,22.84 ± 0.94 / 59.11 ± 0.88@@22.84,54.70 ± 1.23 / 23.92 ± 1.63@@54.70,-@@-1,16.27 ± 0.62 / 36.62 ± 0.51@@16.27,22.60 ± 2.24 / 61.42 ± 1.03@@22.60,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,-@@0,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,-@@100,11.79,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,7.61 ± 1.92 / 27.46 ± 2.94@@7.61,37.73 ± 3.38 / 23.59 ± 2.22@@37.73,0.49 ± 1.72 / 35.59 ± 2.60@@0.49,25.38 ± 2.68 / 1.42 ± 0.32@@25.38,-@@-1,4.36 ± 1.46 / 28.11 ± 0.95@@4.36,1.46 ± 3.22 / 52.72 ± 2.25@@1.46,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0,16.11.0.dev0@@161100,16.11.0.dev0@@161100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.26 ± 3.39 / 68.17 ± 2.74@@58.26,37.58 ± 1.84 / 20.31 ± 0.74@@37.58,37.58 ± 3.86 / 67.09 ± 1.89@@37.58,49.10 ± 1.25 / 22.50 ± 1.26@@49.10,-@@-1,35.84 ± 3.55 / 50.55 ± 2.86@@35.84,30.47 ± 4.31 / 61.88 ± 2.39@@30.47,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,-@@0,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,2097152.0,✓,✗,✗,✓,57.86 ± 2.77 / 70.60 ± 1.98@@57.86,43.48 ± 2.11 / 26.59 ± 1.15@@43.48,28.60 ± 3.63 / 58.04 ± 1.87@@28.60,47.92 ± 1.35 / 23.17 ± 1.38@@47.92,-@@-1,42.57 ± 4.56 / 56.33 ± 3.36@@42.57,69.36 ± 3.47 / 84.61 ± 1.68@@69.36,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,-@@0,15.5.0@@150500,15.5.0@@150500
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B'>deepseek-ai/DeepSeek-R1-0528-Qwen3-8B</a>,🤔,-@@100,?,8190735360.0,151936.0,131072.0,✓,✗,(✓),✓,33.18 ± 2.64 / 54.84 ± 1.71@@33.18,45.76 ± 2.39 / 24.58 ± 1.70@@45.76,9.22 ± 2.32 / 51.02 ± 1.68@@9.22,46.59 ± 1.48 / 20.99 ± 1.39@@46.59,-@@-1,15.01 ± 1.59 / 36.07 ± 1.13@@15.01,18.36 ± 4.08 / 59.10 ± 1.97@@18.36,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,-@@0,15.9.1@@150901,15.9.1@@150901
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B'>deepseek-ai/DeepSeek-R1-Distill-Llama-70B</a>,🤔,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,20.54 ± 2.56 / 39.49 ± 2.11@@20.54,56.77 ± 0.92 / 36.55 ± 2.67@@56.77,7.46 ± 4.47 / 43.69 ± 5.15@@7.46,46.42 ± 1.33 / 21.20 ± 1.18@@46.42,-@@-1,3.54 ± 1.72 / 26.05 ± 1.14@@3.54,2.08 ± 3.45 / 56.65 ± 1.03@@2.08,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B'>deepseek-ai/DeepSeek-R1-Distill-Llama-8B</a>,🤔,-@@100,?,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,9.74 ± 3.04 / 36.47 ± 2.63@@9.74,31.07 ± 1.63 / 22.05 ± 1.42@@31.07,0.71 ± 1.60 / 44.21 ± 2.93@@0.71,11.27 ± 1.19 / 0.20 ± 0.14@@11.27,-@@-1,0.84 ± 1.20 / 25.86 ± 1.08@@0.84,0.09 ± 3.15 / 55.27 ± 0.96@@0.09,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,-@@100,?,1777088000.0,151936.0,131072.0,✓,✗,(✓),✓,0.46 ± 1.93 / 29.66 ± 1.24@@0.46,7.82 ± 0.70 / 7.97 ± 0.69@@7.82,-0.02 ± 1.83 / 49.70 ± 1.00@@-0.02,6.41 ± 0.51 / 0.09 ± 0.07@@6.41,-@@-1,-0.49 ± 1.41 / 25.61 ± 1.12@@-0.49,-2.45 ± 1.66 / 52.37 ± 1.74@@-2.45,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-14B</a>,🤔,-@@100,?,14770033664.0,152064.0,131072.0,✓,✗,(✓),✓,23.89 ± 2.81 / 48.50 ± 2.13@@23.89,39.07 ± 6.78 / 19.19 ± 2.41@@39.07,1.68 ± 2.08 / 43.25 ± 2.91@@1.68,18.51 ± 2.29 / 4.37 ± 1.90@@18.51,-@@-1,0.38 ± 0.75 / 25.69 ± 1.11@@0.38,1.02 ± 2.79 / 56.05 ± 1.12@@1.02,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B</a>,🤔,-@@100,?,32763876352.0,152064.0,131072.0,✓,✗,(✓),✓,23.62 ± 4.95 / 46.61 ± 4.61@@23.62,52.78 ± 8.65 / 39.10 ± 5.69@@52.78,10.10 ± 1.17 / 52.19 ± 1.53@@10.10,46.34 ± 1.25 / 21.12 ± 1.47@@46.34,-@@-1,4.29 ± 1.50 / 27.21 ± 0.91@@4.29,15.67 ± 3.71 / 60.10 ± 1.68@@15.67,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-7B</a>,🤔,-@@100,?,7615616512.0,152064.0,131072.0,✓,✗,(✓),✓,2.58 ± 2.87 / 33.22 ± 2.36@@2.58,21.34 ± 1.90 / 17.02 ± 1.54@@21.34,-0.12 ± 1.42 / 33.64 ± 0.30@@-0.12,17.52 ± 0.82 / 2.01 ± 0.67@@17.52,-@@-1,1.60 ± 1.47 / 25.95 ± 1.01@@1.60,-2.39 ± 2.04 / 56.06 ± 1.13@@-2.39,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,57.53 ± 4.16 / 69.97 ± 2.85@@57.53,57.57 ± 3.12 / 40.75 ± 2.28@@57.57,33.70 ± 3.97 / 63.69 ± 1.94@@33.70,49.59 ± 1.23 / 24.08 ± 0.66@@49.59,-@@-1,38.93 ± 2.99 / 53.75 ± 2.28@@38.93,61.62 ± 4.07 / 81.80 ± 1.91@@61.62,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,-@@0,15.5.0@@150500,15.5.0@@150500
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,-@@100,N/A,140248512.0,128256.0,4096.0,✗,✗,(✓),✓,4.39 ± 2.62 / 23.72 ± 3.34@@4.39,2.89 ± 2.01 / 4.66 ± 1.51@@2.89,0.00 ± 0.00 / 33.50 ± 0.37@@0.00,9.06 ± 1.23 / 1.04 ± 0.83@@9.06,-@@-1,-0.08 ± 0.96 / 23.28 ± 0.78@@-0.08,0.75 ± 2.05 / 46.37 ± 2.61@@0.75,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/facebook/MobileLLM-R1-140M'>facebook/MobileLLM-R1-140M</a>,🤔,-@@100,?,140248512.0,128256.0,32768.0,✗,✗,(✓),✓,0.55 ± 1.20 / 16.63 ± 0.61@@0.55,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.00 ± 0.00 / 33.16 ± 0.38@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-1.41 ± 1.58 / 25.45 ± 1.06@@-1.41,0.45 ± 2.38 / 56.42 ± 0.88@@0.45,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
