<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,-@@100,1.93,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,14.71 ± 3.65 / 24.24 ± 5.00@@14.71,59.46 ± 1.42 / 32.06 ± 2.10@@59.46,57.81 ± 1.86 / 32.60 ± 2.79@@57.81,6.64 ± 2.39 / 38.10 ± 4.34@@6.64,3.80 ± 2.22 / 36.82 ± 3.72@@3.80,25.06 ± 5.76 / 6.28 ± 3.00@@25.06,-@@-1,8.34 ± 1.48 / 32.85 ± 1.02@@8.34,0.24 ± 0.86 / 24.83 ± 0.73@@0.24,14.24 ± 3.29 / 26.89 ± 2.58@@14.24,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,-@@100,11.27,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,1.93 ± 2.26 / 22.17 ± 0.53@@1.93,50.51 ± 1.64 / 33.73 ± 1.47@@50.51,52.43 ± 1.23 / 38.50 ± 2.20@@52.43,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,24.22 ± 3.91 / 8.18 ± 2.62@@24.22,-@@-1,16.25 ± 1.18 / 33.78 ± 1.40@@16.25,0.18 ± 0.66 / 24.06 ± 0.43@@0.18,18.53 ± 1.95 / 32.64 ± 1.65@@18.53,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,-@@100,0.18,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,17.71 ± 3.29 / 33.20 ± 5.04@@17.71,51.25 ± 1.34 / 46.86 ± 1.73@@51.25,52.72 ± 1.19 / 49.20 ± 1.76@@52.72,0.48 ± 0.93 / 33.44 ± 0.33@@0.48,0.33 ± 0.46 / 33.41 ± 0.24@@0.33,53.59 ± 4.13 / 29.98 ± 3.55@@53.59,-@@-1,14.96 ± 2.54 / 36.25 ± 1.72@@14.96,0.51 ± 1.34 / 25.60 ± 0.92@@0.51,20.04 ± 2.50 / 33.28 ± 2.38@@20.04,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,-@@100,0.04,?,103424.0,131072.0,✓,✗,(✓),✗,3.71 ± 1.63 / 19.27 ± 5.63@@3.71,31.92 ± 2.17 / 29.63 ± 2.02@@31.92,34.09 ± 0.91 / 33.46 ± 1.62@@34.09,0.82 ± 1.01 / 44.10 ± 3.60@@0.82,0.99 ± 1.89 / 43.96 ± 4.25@@0.99,14.00 ± 3.05 / 4.22 ± 1.41@@14.00,-@@-1,4.95 ± 1.00 / 28.25 ± 0.89@@4.95,0.51 ± 1.13 / 24.86 ± 0.71@@0.51,0.17 ± 1.24 / 20.09 ± 0.89@@0.17,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,-@@100,?,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,34.11 ± 7.34 / 49.50 ± 8.07@@34.11,57.89 ± 1.50 / 36.31 ± 2.38@@57.89,55.58 ± 1.74 / 37.68 ± 3.05@@55.58,26.36 ± 2.30 / 61.48 ± 1.65@@26.36,23.21 ± 2.43 / 58.12 ± 2.97@@23.21,67.85 ± 3.24 / 42.81 ± 3.66@@67.85,-@@-1,29.47 ± 1.56 / 47.87 ± 1.36@@29.47,9.14 ± 1.21 / 31.80 ± 0.86@@9.14,52.15 ± 1.79 / 61.52 ± 1.46@@52.15,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,-@@100,N/A,4619184640.0,128004.0,65536.0,✓,✗,(✓),✗,44.78 ± 1.54 / 62.00 ± 1.16@@44.78,42.04 ± 2.73 / 27.55 ± 3.02@@42.04,43.53 ± 3.24 / 33.33 ± 3.13@@43.53,1.31 ± 1.39 / 35.44 ± 1.15@@1.31,1.60 ± 1.69 / 34.48 ± 1.04@@1.60,58.54 ± 4.16 / 37.28 ± 4.45@@58.54,-@@-1,22.90 ± 1.73 / 43.38 ± 1.20@@22.90,-2.41 ± 1.22 / 23.69 ± 0.82@@-2.41,29.30 ± 2.05 / 43.08 ± 1.66@@29.30,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,61.40 ± 0.81 / 72.88 ± 0.70@@61.40,79.14 ± 1.44 / 63.40 ± 2.46@@79.14,78.63 ± 1.14 / 65.10 ± 3.55@@78.63,62.50 ± 1.97 / 80.93 ± 1.17@@62.50,48.10 ± 2.85 / 71.88 ± 2.56@@48.10,75.71 ± 1.07 / 49.75 ± 1.39@@75.71,-@@-1,55.04 ± 1.17 / 66.58 ± 0.89@@55.04,27.92 ± 0.86 / 45.90 ± 0.67@@27.92,81.91 ± 0.73 / 85.48 ± 0.58@@81.91,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,-@@0,15.9.1@@150901,15.10.1.dev0@@151001,15.9.1@@150901
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,-@@100,N/A,359431168.0,128256.0,4096.0,✗,✗,(✓),✓,1.45 ± 1.51 / 17.59 ± 0.45@@1.45,22.54 ± 2.97 / 24.46 ± 3.27@@22.54,22.82 ± 1.98 / 25.58 ± 2.06@@22.82,0.69 ± 1.56 / 39.18 ± 3.55@@0.69,1.81 ± 1.89 / 35.45 ± 1.20@@1.81,2.24 ± 0.57 / 0.43 ± 0.28@@2.24,-@@-1,0.87 ± 0.77 / 25.83 ± 1.29@@0.87,-0.49 ± 0.74 / 24.98 ± 0.67@@-0.49,-0.43 ± 1.64 / 19.51 ± 1.14@@-0.43,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/facebook/MobileLLM-R1-360M'>facebook/MobileLLM-R1-360M</a>,📝,-@@100,?,359431168.0,128256.0,32768.0,✗,✗,(✓),✓,-6.72 ± 4.44 / 20.56 ± 2.50@@-6.72,2.08 ± 1.49 / 1.92 ± 1.36@@2.08,1.78 ± 1.35 / 1.75 ± 1.15@@1.78,-0.30 ± 0.45 / 34.95 ± 2.91@@-0.30,0.39 ± 0.56 / 36.04 ± 2.97@@0.39,0.59 ± 0.16 / 0.00 ± 0.00@@0.59,-@@-1,2.90 ± 2.71 / 26.76 ± 1.31@@2.90,0.00 ± 0.00 / 25.95 ± 0.67@@0.00,0.68 ± 1.19 / 20.90 ± 1.00@@0.68,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,-@@100,N/A,949685760.0,128256.0,4096.0,✗,✗,(✓),✓,9.69 ± 1.84 / 23.75 ± 1.81@@9.69,38.69 ± 3.15 / 25.43 ± 2.77@@38.69,37.48 ± 1.87 / 26.80 ± 1.93@@37.48,0.68 ± 1.05 / 43.40 ± 4.17@@0.68,0.69 ± 1.34 / 44.22 ± 4.38@@0.69,22.14 ± 2.08 / 11.10 ± 1.76@@22.14,-@@-1,1.55 ± 1.32 / 29.02 ± 0.87@@1.55,-0.09 ± 0.86 / 25.72 ± 0.35@@-0.09,0.17 ± 1.50 / 20.16 ± 1.07@@0.17,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,-@@100,?,949685760.0,128256.0,32768.0,✗,✗,(✓),✓,-0.67 ± 2.52 / 20.85 ± 2.79@@-0.67,25.14 ± 2.49 / 25.79 ± 2.23@@25.14,20.05 ± 1.48 / 20.36 ± 1.16@@20.05,0.87 ± 1.20 / 35.30 ± 2.41@@0.87,0.22 ± 1.08 / 37.01 ± 4.01@@0.22,0.33 ± 0.29 / 0.00 ± 0.00@@0.33,-@@-1,0.64 ± 0.62 / 24.84 ± 1.03@@0.64,-0.55 ± 0.73 / 25.48 ± 0.45@@-0.55,0.00 ± 0.00 / 19.81 ± 0.56@@0.00,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,51.80 ± 2.82 / 63.42 ± 2.64@@51.80,58.20 ± 2.82 / 45.20 ± 2.91@@58.20,57.76 ± 3.60 / 43.14 ± 3.00@@57.76,64.99 ± 2.36 / 82.34 ± 1.22@@64.99,48.75 ± 3.36 / 74.28 ± 1.71@@48.75,64.18 ± 0.98 / 33.43 ± 1.71@@64.18,-@@-1,48.66 ± 3.18 / 61.05 ± 2.38@@48.66,32.01 ± 2.77 / 49.02 ± 2.08@@32.01,78.98 ± 2.34 / 82.81 ± 1.99@@78.98,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.10.1.dev0@@151001,15.5.0.dev0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,-@@100,?,8000000000.0,256128.0,1048576.0,✓,✗,✗,✓,39.85 ± 2.26 / 48.65 ± 1.80@@39.85,56.46 ± 1.82 / 41.82 ± 1.99@@56.46,54.55 ± 3.41 / 39.51 ± 2.68@@54.55,45.79 ± 2.05 / 69.63 ± 1.33@@45.79,27.29 ± 3.09 / 60.84 ± 1.67@@27.29,63.02 ± 0.82 / 31.38 ± 1.25@@63.02,-@@-1,32.79 ± 2.59 / 45.82 ± 2.25@@32.79,11.51 ± 2.65 / 32.38 ± 2.07@@11.51,88.45 ± 3.01 / 90.78 ± 2.44@@88.45,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.10.1.dev0@@151001,15.5.0.dev0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,2097152.0,✓,✗,✗,✓,58.22 ± 2.11 / 69.70 ± 1.57@@58.22,66.13 ± 2.29 / 58.30 ± 3.14@@66.13,63.02 ± 3.42 / 56.08 ± 3.41@@63.02,62.54 ± 2.36 / 79.95 ± 1.33@@62.54,45.94 ± 2.66 / 69.97 ± 1.47@@45.94,69.50 ± 0.60 / 38.71 ± 1.09@@69.50,-@@-1,62.59 ± 2.99 / 72.46 ± 2.13@@62.59,52.78 ± 3.07 / 64.49 ± 2.27@@52.78,81.84 ± 3.15 / 85.31 ± 2.59@@81.84,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,-@@0,15.5.0@@150500,15.10.1.dev0@@151001,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,54.97 ± 3.37 / 67.59 ± 2.54@@54.97,68.06 ± 2.00 / 60.84 ± 2.41@@68.06,58.64 ± 3.09 / 51.21 ± 3.03@@58.64,56.69 ± 2.99 / 76.48 ± 1.61@@56.69,39.61 ± 3.72 / 65.64 ± 2.15@@39.61,69.01 ± 0.57 / 35.10 ± 1.36@@69.01,-@@-1,68.16 ± 3.43 / 76.72 ± 2.47@@68.16,35.30 ± 2.42 / 51.09 ± 1.83@@35.30,85.34 ± 2.79 / 88.12 ± 2.25@@85.34,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,-@@0,15.5.0@@150500,15.10.1.dev0@@151001,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,49.20 ± 2.22 / 62.12 ± 2.18@@49.20,56.40 ± 3.66 / 40.08 ± 3.32@@56.40,55.49 ± 2.86 / 38.13 ± 2.34@@55.49,58.37 ± 2.25 / 76.84 ± 1.25@@58.37,47.79 ± 3.97 / 71.47 ± 2.34@@47.79,68.11 ± 0.71 / 34.41 ± 1.02@@68.11,-@@-1,58.50 ± 3.32 / 69.14 ± 2.43@@58.50,33.81 ± 3.77 / 50.43 ± 2.86@@33.81,80.41 ± 3.16 / 84.22 ± 2.68@@80.41,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,-@@0,15.5.0@@150500,15.10.1.dev0@@151001,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,55.45 ± 2.79 / 67.12 ± 2.15@@55.45,74.17 ± 1.76 / 55.46 ± 2.75@@74.17,83.19 ± 2.10 / 70.78 ± 2.36@@83.19,68.68 ± 2.20 / 83.65 ± 1.20@@68.68,42.44 ± 2.82 / 68.13 ± 1.56@@42.44,69.90 ± 0.68 / 36.42 ± 1.23@@69.90,-@@-1,68.79 ± 2.73 / 76.91 ± 1.98@@68.79,53.14 ± 3.77 / 64.80 ± 2.78@@53.14,88.29 ± 2.02 / 90.31 ± 1.76@@88.29,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,-@@0,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,52.84 ± 2.51 / 62.92 ± 1.93@@52.84,77.75 ± 1.68 / 71.53 ± 2.43@@77.75,81.18 ± 2.12 / 70.72 ± 2.28@@81.18,73.81 ± 2.86 / 86.80 ± 1.46@@73.81,46.14 ± 3.34 / 70.53 ± 1.92@@46.14,68.45 ± 0.87 / 38.02 ± 1.27@@68.45,-@@-1,79.70 ± 2.00 / 85.12 ± 1.48@@79.70,16.30 ± 5.67 / 30.43 ± 2.52@@16.30,87.63 ± 3.74 / 90.16 ± 2.96@@87.63,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0.dev0@@151300,-@@0,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,50.03 ± 2.07 / 60.94 ± 2.06@@50.03,53.13 ± 3.09 / 28.99 ± 2.20@@53.13,57.58 ± 3.55 / 30.08 ± 2.53@@57.58,57.30 ± 2.76 / 76.61 ± 1.73@@57.30,44.84 ± 3.09 / 69.58 ± 1.91@@44.84,71.16 ± 0.86 / 39.59 ± 1.37@@71.16,-@@-1,61.16 ± 2.98 / 71.48 ± 2.10@@61.16,43.34 ± 2.58 / 57.15 ± 1.99@@43.34,84.71 ± 3.58 / 87.66 ± 2.97@@84.71,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,-@@0,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.83 ± 2.03 / 68.25 ± 1.68@@58.83,69.46 ± 2.45 / 51.19 ± 3.26@@69.46,69.12 ± 3.61 / 50.96 ± 3.38@@69.12,71.27 ± 2.07 / 85.59 ± 1.03@@71.27,54.73 ± 3.19 / 77.21 ± 1.58@@54.73,69.68 ± 0.81 / 39.88 ± 1.19@@69.68,-@@-1,73.50 ± 2.09 / 80.35 ± 1.52@@73.50,56.31 ± 3.05 / 66.64 ± 2.35@@56.31,88.70 ± 2.26 / 90.78 ± 1.96@@88.70,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,-@@0,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,54.53 ± 2.45 / 65.62 ± 2.05@@54.53,47.56 ± 2.88 / 34.73 ± 2.56@@47.56,51.79 ± 3.93 / 37.51 ± 3.55@@51.79,72.42 ± 2.06 / 86.18 ± 1.02@@72.42,66.16 ± 2.43 / 82.53 ± 1.27@@66.16,72.05 ± 0.67 / 44.79 ± 1.09@@72.05,-@@-1,77.96 ± 1.01 / 83.87 ± 0.77@@77.96,65.02 ± 2.74 / 73.75 ± 2.02@@65.02,68.89 ± 4.32 / 74.69 ± 3.67@@68.89,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,-@@0,15.7.0.dev0@@150700,15.10.1.dev0@@151001,15.7.0.dev0@@150700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,56.26 ± 2.63 / 67.75 ± 2.00@@56.26,66.90 ± 2.26 / 50.19 ± 1.90@@66.90,67.30 ± 3.65 / 51.49 ± 2.96@@67.30,76.24 ± 2.61 / 87.94 ± 1.34@@76.24,60.74 ± 1.95 / 79.55 ± 0.97@@60.74,71.29 ± 0.64 / 43.00 ± 1.33@@71.29,-@@-1,82.90 ± 1.35 / 87.46 ± 1.02@@82.90,87.27 ± 1.16 / 90.47 ± 0.89@@87.27,85.62 ± 1.68 / 88.28 ± 1.39@@85.62,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,-@@0,15.8.1@@150801,15.10.1.dev0@@151001,15.8.1@@150801
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,54.43 ± 2.92 / 67.36 ± 2.22@@54.43,69.33 ± 2.13 / 55.70 ± 2.57@@69.33,71.79 ± 2.84 / 56.62 ± 2.50@@71.79,79.04 ± 2.00 / 89.46 ± 1.02@@79.04,65.85 ± 2.65 / 82.70 ± 1.38@@65.85,72.67 ± 0.67 / 43.67 ± 1.26@@72.67,-@@-1,87.89 ± 1.43 / 91.13 ± 1.04@@87.89,87.33 ± 1.04 / 90.51 ± 0.78@@87.33,91.24 ± 2.19 / 92.81 ± 1.84@@91.24,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,-@@0,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/facebook/MobileLLM-R1-140M'>facebook/MobileLLM-R1-140M</a>,🤔,-@@100,?,140248512.0,128256.0,32768.0,✗,✗,(✓),✓,0.14 ± 0.47 / 17.49 ± 0.42@@0.14,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.55 ± 0.84 / 34.46 ± 0.79@@0.55,-0.10 ± 2.02 / 34.94 ± 0.95@@-0.10,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,0.84 ± 1.08 / 24.44 ± 0.52@@0.84,0.62 ± 0.90 / 26.11 ± 0.86@@0.62,0.70 ± 1.33 / 19.96 ± 0.51@@0.70,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,-@@100,N/A,140248512.0,128256.0,4096.0,✗,✗,(✓),✓,1.55 ± 1.35 / 18.96 ± 1.74@@1.55,15.20 ± 4.80 / 16.33 ± 4.46@@15.20,12.40 ± 2.36 / 12.68 ± 2.82@@12.40,1.34 ± 0.74 / 41.44 ± 4.58@@1.34,1.08 ± 1.13 / 40.72 ± 4.20@@1.08,2.15 ± 0.83 / 0.12 ± 0.09@@2.15,-@@-1,0.85 ± 0.89 / 28.79 ± 0.91@@0.85,-0.11 ± 1.66 / 25.44 ± 0.77@@-0.11,-0.17 ± 1.04 / 19.94 ± 1.05@@-0.17,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B'>deepseek-ai/DeepSeek-R1-0528-Qwen3-8B</a>,🤔,-@@100,?,8190735360.0,151936.0,131072.0,✓,✗,(✓),✓,42.47 ± 3.05 / 60.85 ± 2.23@@42.47,73.66 ± 1.82 / 62.22 ± 2.13@@73.66,72.03 ± 0.96 / 61.56 ± 2.30@@72.03,36.23 ± 3.77 / 66.02 ± 3.06@@36.23,18.48 ± 2.26 / 52.25 ± 2.35@@18.48,63.59 ± 0.84 / 37.17 ± 1.45@@63.59,-@@-1,29.07 ± 2.67 / 47.29 ± 2.05@@29.07,13.61 ± 1.04 / 35.10 ± 0.86@@13.61,69.25 ± 1.31 / 75.30 ± 1.04@@69.25,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,-@@0,15.9.1@@150901,15.10.1.dev0@@151001,15.9.1@@150901
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B'>deepseek-ai/DeepSeek-R1-Distill-Llama-70B</a>,🤔,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,54.24 ± 1.01 / 68.35 ± 0.76@@54.24,69.04 ± 1.44 / 57.14 ± 1.98@@69.04,70.02 ± 1.71 / 58.98 ± 2.42@@70.02,31.18 ± 5.01 / 61.78 ± 4.52@@31.18,24.97 ± 2.85 / 60.72 ± 1.98@@24.97,66.86 ± 0.85 / 39.24 ± 1.38@@66.86,-@@-1,53.58 ± 1.54 / 65.07 ± 1.26@@53.58,9.56 ± 2.52 / 29.51 ± 1.67@@9.56,60.64 ± 6.47 / 66.12 ± 6.14@@60.64,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.9.2.dev0@@150902,15.10.1.dev0@@151001,15.9.2.dev0@@150902
